日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）
2021-03-05,820.9000244140625,822.5,803.4000244140625,822.5,8518100.0,812.890380859375,817.0199951171875,804.5099975585938,764.6519995117187,,,False,False,False,False,False,False,True,False,False,True,False,0.10395136778115502,0.13726446737272022,0.0808510638297872,0.1333738750237462,0.07033191548727208,,0.10796351099449088,0.1945288753799392,,0.22311718517884835
2021-03-08,839.9000244140625,858.4000244140625,837.7000122070312,845.0999755859375,10810600.0,835.2262573242188,822.9199951171875,811.7799926757813,770.147998046875,,,False,False,False,False,False,False,True,False,False,False,False,0.07691397689951811,0.12625726575492136,0.0956100475237895,0.1321737255164227,0.08869007183096368,,0.07892558766291029,0.17347064354066605,,0.211017780374697
2021-03-09,864.5,870.7000122070312,853.2999877929688,864.7000122070312,10912200.0,854.5973510742188,836.6599975585938,819.5899963378906,776.9639990234375,,,False,False,False,False,False,False,True,False,False,False,False,0.07285763745880021,0.07447665371778366,0.0467213632572883,0.1479125263945108,0.10146410540652046,,0.05955822744647954,0.14791252639451086,,0.19753780161656512
2021-03-10,861.7999877929688,863.2000122070312,850.9000244140625,859.9000244140625,8684200.0,849.8533935546875,842.8400024414062,827.05,783.2319995117188,,,False,False,False,False,False,False,True,False,False,True,False,0.06442605164089382,0.0523316649870582,0.0732643309818815,0.1444353385807904,0.08915923098686442,,0.0398883437831518,0.140248833773571,,0.18511577292787623
2021-03-11,865.0999755859375,879.7999877929688,865.0,877.0999755859375,8067600.0,866.8524169921875,853.8599975585937,832.3599975585937,789.607998046875,,,False,False,False,False,False,False,True,False,False,False,False,0.045034774939552984,0.053243659225772746,0.0310113019771327,0.0725117300095766,0.0997514308224834,,0.03408964228289723,0.10147075872456227,,0.1725815757861284
2021-03-12,891.0999755859375,909.0,883.9000244140625,908.0,17027200.0,897.3914184570312,870.9599975585937,843.9899963378906,795.6159985351562,,,False,False,False,False,False,False,True,False,False,True,False,0.0301762383414784,0.034691629955947136,0.0036343477896131,0.0136564145529321,0.12377092672339624,,0.008590294926177038,0.061343625778668774,,0.15248995907349017
2021-03-15,910.0,914.7999877929688,906.7000122070312,910.0999755859376,12279400.0,899.4668579101562,883.9599975585937,853.4399963378906,802.747998046875,,,False,False,False,False,False,False,True,False,False,False,False,0.04581915539573987,0.034501730860773315,0.0018679400644271,0.0203274370907321,0.11795624702653976,,0.010438413641186773,0.07010224210482945,,0.1406777326786729
2021-03-16,910.5,941.4000244140624,909.0,927.7000122070312,12100800.0,916.8612670898438,896.5599975585938,866.6099975585937,810.3559985351562,,,False,False,False,False,False,False,True,False,False,False,False,0.0015090690530183363,0.004635105892409041,-0.0123962486242089,-0.0061442407373378,0.12648917982948976,,-0.029212068841760388,0.0396679824390864,,0.12716216096104885
2021-03-17,917.9000244140624,923.0999755859376,906.5,915.2999877929688,11483000.0,904.6061401367188,907.639990234375,875.2399963378906,817.2159985351562,,,False,False,False,False,False,False,True,False,False,True,False,-0.011362354984821355,0.006008958891458045,-0.023052524710303,0.0328854332159151,0.10716048352007415,,-0.03660002233888082,0.06194691681767639,,0.11535122261841123
2021-03-18,918.7999877929688,919.0999755859376,909.7999877929688,916.5999755859376,9706200.0,905.8909301757812,915.539990234375,884.6999938964843,824.2599975585938,,,False,False,False,False,False,False,True,False,False,False,False,0.007855130262717409,-0.005782225544552126,-0.0104734626245225,0.0135282835962718,0.10074185084754708,,-0.02585637333966204,0.036329969141486916,,0.1006442965516061
